5.744923808815736166e-01,7.417766478998960578e-01,3.880406473643017162e-01,2.469273162632517060e-01,6.045223143362467022e-01,1.018031407321514092e-01,9
9.554952813244987908e-01,1.258218060386526171e-01,5.755590081458301643e-01,5.462187499607621399e-01,7.559145018229161961e-01,7.735018878491899397e-01,11
9.090822117867470853e-01,6.971163208415090407e-02,6.384861190962080046e-01,5.419069831154649242e-01,8.112737804147385212e-01,6.660229625905051964e-01,11
8.562894859423627603e-01,2.917999285129820319e-01,7.082870349980179281e-01,2.792978396417185594e-01,2.779291172349385719e-01,4.224255447171851308e-01,0
4.458688161757033974e-01,1.357154576619137021e-01,8.626286458729371942e-01,1.341193565792363207e-01,1.553112166875135203e-01,7.213934448702478130e-01,2
8.508529312990624760e-01,2.937019996874801198e-01,7.238015079725219625e-01,2.766857452203142498e-01,2.801972575305891056e-01,4.224815879073611780e-01,0
1.198443494773077100e-01,5.891620875551490943e-01,1.885803935140945020e-01,7.153448367826725773e-01,2.784069370043742997e-01,1.729243785848437187e-01,1
1.370065618629822124e-01,2.859980074212799539e-01,1.445502662525988691e-01,1.338205028111611461e-01,4.290152994251456575e-01,4.120928573518435334e-01,12
9.030812618990121665e-01,2.576141502527964366e-01,7.486982977700876729e-01,3.281139506529103800e-01,3.097262968368814096e-01,4.252849212933438316e-01,0
5.941099961291128606e-01,7.439957947982681619e-01,4.351557791121636320e-01,2.322856311529882811e-01,6.305838873661816502e-01,1.130682122162618708e-01,9
5.665438651981755669e-01,1.304968295199286088e-01,7.044279324269516751e-01,4.097301983148068372e-01,4.169798963787013091e-01,5.547265987511229568e-01,13
9.040884723974486059e-01,9.770681712896382709e-02,6.500492197744427436e-01,5.728750404577688249e-01,6.564711221436403399e-01,7.435894005435740306e-01,11
7.903430082043144678e-01,3.062934842442034400e-01,6.922855563285050806e-01,2.457352136821898125e-01,3.063051429996170860e-01,3.946073561534443885e-01,0
5.923134539329962811e-01,1.330617316005641704e-01,6.889458638649249567e-01,4.359445391142682258e-01,4.208066959436950194e-01,5.596270994381179475e-01,13
8.540854665456076855e-01,1.518963202532515044e-01,5.845836229449998811e-01,5.706566086312429009e-01,7.052550271820540173e-01,7.185665120068482903e-01,11
1.891912325478810886e-01,6.932160713327727430e-01,5.708845992330841002e-01,7.162274640360720701e-01,4.312056366730835366e-01,7.036148552359619002e-01,10
2.825134065116886584e-01,7.440759753347941929e-01,8.611255083843259994e-01,7.137532284881776823e-01,4.212546831967791672e-01,8.623316619099025138e-01,5
5.721428573490346947e-01,1.430313365660158820e-01,7.327432174548966781e-01,4.235445308753423288e-01,4.119959129799416475e-01,5.639437824105362207e-01,13
1.217525085405551655e-01,5.505638403768645661e-01,1.755073248565879040e-01,7.622637381306032189e-01,2.974741130441311276e-01,2.063558327793903191e-01,1
1.336081305286279663e-01,7.064482559337383893e-01,5.755060873359956197e-01,6.651051194752826135e-01,3.831508602789047702e-01,7.212814810209901006e-01,10
1.482707264476454678e-01,2.864923877466846180e-01,1.531833834599528044e-01,1.625184649353401956e-01,4.280655656131800435e-01,4.271240063390204789e-01,12
5.637985859123640919e-01,8.224797159086506548e-01,4.354731022203509050e-01,4.215400046318084626e-01,7.701284638363696811e-01,8.608935131233044213e-01,6
7.970960421455834943e-01,8.736368090161822364e-01,5.438957163086215463e-01,7.048810846072621761e-01,2.858839284376202827e-01,6.807027573987960434e-01,7
5.837394206699180188e-01,9.790538801121884127e-02,7.432920999372709669e-01,4.137543894784109222e-01,4.419970510990900991e-01,5.545452532889386665e-01,13
7.377201320943383989e-01,3.999799883242143861e-01,3.985922587038615572e-01,1.142347336995382379e-01,3.992865766666766070e-01,3.156313096854232447e-01,4
8.347530599104292515e-01,1.285759934188218379e-01,6.042115909380680883e-01,5.834128070213310258e-01,6.862215001357584443e-01,6.343616133248229927e-01,11
8.195698379996270155e-01,1.614495812990209833e-01,5.991374414895157541e-01,5.786981204178359706e-01,7.141027229662054721e-01,7.419143508761063543e-01,11
